bitrate_kbps_segment_size,bitrate_kbps_target,coding_height,coding_res,coding_width,display_height,display_res,display_width,dts,framerate,gop_length,i_sizes_average,iframe_ratio,noni_sizes_average,sample_index,pvs_id
289.068620784,150,240,102240,426,1080,2073600,1920,54.958333,24,1,8420,6.99335548173,1204,54,TR04_SRC003_HRC02
303.931854259,150,240,102240,426,1080,2073600,1920,55.958333,24,1,8817,6.95347003155,1268,55,TR04_SRC003_HRC02
320.634973382,150,240,102240,426,1080,2073600,1920,56.958333,24,1,9298,6.94917787743,1338,56,TR04_SRC003_HRC02
331.952677712,150,240,102240,426,1080,2073600,1920,57.958333,24,1,9851,7.16436363636,1375,57,TR04_SRC003_HRC02
333.915146861,150,240,102240,426,1080,2073600,1920,58.958333,24,1,10086,7.32994186047,1376,58,TR04_SRC003_HRC02
333.150134799,150,240,102240,426,1080,2073600,1920,59.958333,24,1,9878,7.1527878349,1381,59,TR04_SRC003_HRC02
5001.37118903,2500,1080,2073600,1920,1080,2073600,1920,0.958333,24,1,70586,2.92742203052,24112,0,TR04_SRC004_HRC02
5001.37118903,2500,1080,2073600,1920,1080,2073600,1920,1.958333,24,1,70586,2.92742203052,24112,1,TR04_SRC004_HRC02
5001.37118903,2500,1080,2073600,1920,1080,2073600,1920,2.958333,24,1,70586,2.92742203052,24112,2,TR04_SRC004_HRC02
5001.37118903,2500,1080,2073600,1920,1080,2073600,1920,3.958333,24,1,70586,2.92742203052,24112,3,TR04_SRC004_HRC02
5001.37118903,2500,1080,2073600,1920,1080,2073600,1920,4.958333,24,1,70586,2.92742203052,24112,4,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,5.958333,24,1,17468,5.22056186491,3346,5,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,6.958333,24,1,17468,5.22056186491,3346,6,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,7.958333,24,1,17468,5.22056186491,3346,7,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,8.958333,24,1,17468,5.22056186491,3346,8,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,9.958333,24,1,17468,5.22056186491,3346,9,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,10.958333,24,1,17468,5.22056186491,3346,10,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,11.958333,24,1,17468,5.22056186491,3346,11,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,12.958333,24,1,17468,5.22056186491,3346,12,TR04_SRC004_HRC02
755.452356381,500,480,408960,852,1080,2073600,1920,13.958333,24,1,17468,5.22056186491,3346,13,TR04_SRC004_HRC02
735.521212065,500,480,408960,852,1080,2073600,1920,14.958333,24,1,16215,4.84608487747,3346,14,TR04_SRC004_HRC02
147.378457336,150,240,102240,426,1080,2073600,1920,15.958333,24,1,4581,7.62229617304,601,15,TR04_SRC004_HRC02
146.330162692,150,240,102240,426,1080,2073600,1920,16.958333,24,1,4622,7.78114478114,594,16,TR04_SRC004_HRC02
146.834517632,150,240,102240,426,1080,2073600,1920,17.958333,24,1,4592,7.67892976589,598,17,TR04_SRC004_HRC02
145.476550473,150,240,102240,426,1080,2073600,1920,18.958333,24,1,4629,7.85908319185,589,18,TR04_SRC004_HRC02
