pvs_id,sample_index,O21
TR04_SRC004_HRC02,45,4.408
TR04_SRC004_HRC02,46,4.408
TR04_SRC004_HRC02,47,4.408
TR04_SRC004_HRC02,48,4.408
TR04_SRC004_HRC02,49,4.408
TR04_SRC004_HRC02,5,4.531
TR04_SRC004_HRC02,50,4.408
TR04_SRC004_HRC02,51,4.408
TR04_SRC004_HRC02,52,4.408
TR04_SRC004_HRC02,53,4.408
TR04_SRC004_HRC02,54,4.408
TR04_SRC004_HRC02,55,4.408
TR04_SRC004_HRC02,56,4.408
TR04_SRC004_HRC02,57,4.408
TR04_SRC004_HRC02,58,4.408
TR04_SRC004_HRC02,59,4.408
TR04_SRC004_HRC02,6,4.531
TR04_SRC004_HRC02,7,4.531
TR04_SRC004_HRC02,8,4.531
TR04_SRC004_HRC02,9,4.531
TR04_SRC103_HRC80,0,4.531
TR04_SRC103_HRC80,1,4.531
TR04_SRC103_HRC80,10,4.531
TR04_SRC103_HRC80,11,4.531
TR04_SRC103_HRC80,12,4.531
TR04_SRC103_HRC80,13,4.531
TR04_SRC103_HRC80,14,4.531
TR04_SRC103_HRC80,15,4.531
TR04_SRC103_HRC80,16,4.531
TR04_SRC103_HRC80,17,4.531
TR04_SRC103_HRC80,18,4.531
TR04_SRC103_HRC80,19,4.531
TR04_SRC103_HRC80,2,4.531
TR04_SRC103_HRC80,20,4.531
TR04_SRC103_HRC80,21,4.531
TR04_SRC103_HRC80,22,4.531
TR04_SRC103_HRC80,23,4.531
TR04_SRC103_HRC80,24,4.531
TR04_SRC103_HRC80,25,4.531
TR04_SRC103_HRC80,26,4.531
TR04_SRC103_HRC80,27,4.531
TR04_SRC103_HRC80,28,4.531
TR04_SRC103_HRC80,29,4.531
TR04_SRC103_HRC80,3,4.531
TR04_SRC103_HRC80,30,4.531
TR04_SRC103_HRC80,31,4.531
TR04_SRC103_HRC80,32,4.531
TR04_SRC103_HRC80,33,4.531
TR04_SRC103_HRC80,34,4.531
TR04_SRC103_HRC80,35,4.531
TR04_SRC103_HRC80,36,4.531
